Normal,Foil,Name,Set,Card Number,Color,Rarity,Price,Foil Price
2,0,"Ariel - On Human Legs",001,1,Amber,Uncommon,"€0.14","€0.70"
0,0,"Ariel - Spectacular Singer",001,2,Amber,Super Rare,"€3.66","€18.03"
3,0,"Cinderella - Gentle and Kind",001,3,Amber,Uncommon,"€0.13","€0.58"
0,0,"Goofy - Musketeer",001,4,Amber,Uncommon,"€0.17","€0.69"
1,0,"Hades - King of Olympus",001,5,Amber,Rare,"€0.30","€0.86"
2,0,"Hades - Lord of the Underworld",001,6,Amber,Rare,"€0.12","€2.13"
4,0,"HeiHei - Boat Snack",001,7,Amber,Common,"€0.11","€0.34"
2,0,"LeFou - Bumbler",001,8,Amber,Uncommon,"€0.14","€0.46"
0,0,"Lilo - Making a Wish",001,9,Amber,Rare,"€3.57","€8.02"
1,0,"Maximus - Palace Horse",001,10,Amber,Super Rare,"€0.24","€1.63"
4,0,"Maximus - Relentless Pursuer",001,11,Amber,Uncommon,"€0.11","€0.57"
3,0,"Mickey Mouse - True Friend",001,12,Amber,Uncommon,"€0.11","€0.87"
5,0,"Minnie Mouse - Beloved Princess",001,13,Amber,Common,"€0.11","€0.33"
0,1,"Moana - Of Motunui",001,14,Amber,Rare,"€0.34","€0.34"
1,0,"Mr. Smee - Loyal First Mate",001,15,Amber,Common,"€0.11","€0.33"
1,1,"Prince Phillip - Dragonslayer",001,16,Amber,Uncommon,"€0.12","€0.46"
2,2,"Pumbaa - Friendly Warthog",001,17,Amber,Common,"€0.11","€0.34"
0,0,"Rapunzel - Gifted with Healing",001,18,Amber,Legendary,"€56.10","€102.03"
2,0,"Sebastian - Court Composer",001,19,Amber,Common,"€0.11","€0.34"
1,0,"Simba - Protective Cub",001,20,Amber,Common,"€0.33","€1.00"
0,0,"Stitch - Carefree Surfer",001,21,Amber,Legendary,"€7.25","€35.53"
4,0,"Stitch - New Dog",001,22,Amber,Common,"€0.13","€0.61"
1,0,"Stitch - Rock Star",001,23,Amber,Super Rare,"€1.12","€6.60"
1,0,"Timon - Grub Rustler",001,24,Amber,Common,"€0.11","€0.32"
3,0,"Be Our Guest",001,25,Amber,Uncommon,"€0.24","€1.98"
4,0,"Control Your Temper!",001,26,Amber,Common,"€0.11","€0.34"
3,0,"Hakuna Matata",001,27,Amber,Common,"€0.11","€0.34"
3,0,"Healing Glow",001,28,Amber,Common,"€0.11","€0.17"
1,0,"Just in Time",001,29,Amber,Rare,"€0.56","€3.29"
1,0,"Part of Your World",001,30,Amber,Rare,"€0.29","€1.74"
1,0,"You Have Forgotten Me",001,31,Amber,Uncommon,"€0.24","€2.83"
5,0,"Dinglehopper",001,32,Amber,Common,"€0.11","€0.27"
0,0,"Lantern",001,33,Amber,Rare,"€0.33","€3.15"
0,0,"Ursula's Shell Necklace",001,34,Amber,Rare,"€0.27","€1.12"
2,0,"Anna - Heir to Arendelle",001,35,Amethyst,Uncommon,"€0.17","€0.61"
2,1,"Archimedes - Highly Educated Owl",001,36,Amethyst,Common,"€0.11","€0.41"
1,0,"Dr. Facilier - Agent Provocateur",001,37,Amethyst,Rare,"€0.12","€1.23"
3,0,"Dr. Facilier - Charlatan",001,38,Amethyst,Common,"€0.11","€0.22"
